time_us,in_ae,in_sc,in_di,in_gm,in_gy,in_as,in_e2t,in_dt,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F,out_DF
24064537,-1,2.1428570747375488,0,1,0.00013183378905523568,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,-5.2519397735595703,-0.039999999105930328,0.0075535192154347897,-0.065507397055625916,0,0,-0.019765699282288551,0
24084529,-1,2.1428570747375488,0,1,0.00016238052921835333,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,-5.3724884986877441,-0.039999999105930328,0.0093037188053131104,-0.067918375134468079,0,-0.0042112474329769611,-0.019765699282288551,0
24104521,-1,2.1428570747375488,0,1,0.00018889726197812706,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,-5.4771342277526855,-0.039999999105930328,0.010823015123605728,-0.070011287927627563,0,-0.0053348173387348652,-0.019765699282288551,0
24124513,-1,2.1428570747375488,0,1,0.00021741700766142458,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,-5.5897121429443359,-0.039999999105930328,0.012457076460123062,-0.072262287139892578,0,-0.0060589509084820747,-0.019765976816415787,0
24144505,-1,2.1428570747375488,0,1,0.00014645647024735808,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,-5.3096742630004883,-0.039999999105930328,0.0083913374692201614,-0.066661529242992401,0,0.0073669156990945339,-0.019765976816415787,0
24164497,-1,2.1428570747375488,0,1,0.00011903082486242056,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,-5.2014427185058594,-0.039999999105930328,0.0068199634552001953,-0.064496882259845734,0,0.0067183710634708405,-0.019765976816415787,0
24184489,-1,2.1428570747375488,0,1,0.0001316336274612695,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,-5.2511777877807617,-0.039999999105930328,0.0075420509092509747,-0.06549159437417984,0,0.00094136619009077549,-0.019765976816415787,0
24204481,-1,2.1428570747375488,0,1,0.00014415047189686447,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,-5.3005728721618652,-0.039999999105930328,0.0082592135295271873,-0.066479519009590149,0,-0.0013502559158951044,-0.019765976816415787,0
24224473,-1,2.1428570747375488,0,1,8.8444736320525408e-05,0.55757856369018555,1.0286601781845093,0.019999999552965164,0,-5.0807347297668457,-0.039999999105930328,0.0050675100646913052,-0.062082786113023758,0,0.0071413465775549412,-0.019765958189964294,0
24244465,-1,2.1428570747375488,0,1,0.00013191271864343435,0.55757856369018555,1.0286601781845093,0.019999999552965164,0,-5.2522768974304199,-0.039999999105930328,0.0075580417178571224,-0.065513625741004944,0,-0.003145142225548625,-0.019765958189964294,0
