time_us,in_us,in_ms,in_la,in_ln,in_gx,in_gy,in_yw,in_ys,in_pt,in_e2,in_pa,in_po,in_na,in_no,in_dm,out_lad,out_nrc,out_nbr,out_ber,out_xte,out_tbc,out_l1d,out_xti,out_enu,out_exi
35704879,35704879,35704,-353618671,1491649465,28.642242431640625,-3.0043323040008545,-0.10644601285457611,35391,0.0085609834641218185,1.0294740200042725,-353618671,1491649465,-353529335,1491637914,0,-0.0099991867318749428,-5,-0.10506200790405273,-0.00055258843349292874,-0,35398,103.13017272949219,0,0,0
35804839,35804839,35804,-353618411,1491649431,28.592800140380859,-3.0073580741882324,-0.10764047503471375,35384,-0.020700206980109215,1.029504656791687,-353618671,1491649465,-353529075,1491637880,0,-0.004310795571655035,-2,-0.10503244400024414,-0.0002386337291682139,0.0034257769584655762,35398,102.95522308349609,6.6522247266220802e-08,-0.00055258843349292874,0
35904799,35904799,35904,-353618154,1491649398,28.525070190429688,-3.0070512294769287,-0.10669923573732376,35389,-0.050089523196220398,1.0295032262802124,-353618671,1491649465,-353528818,1491637847,0,-0.00036853252095170319,0,-0.10505056381225586,-2.0448876966838725e-05,0.0013376474380493164,35398,102.71390533447266,9.2557911557378247e-08,-0.0002386337291682139,6.6522247266220802e-08
36004759,36004759,36004,-353617898,1491649364,28.445789337158203,-2.9951238632202148,-0.10621288418769836,35392,-0.072796948254108429,1.029512882232666,-353618671,1491649465,-353528562,1491637814,0,-0.0011554209049791098,0,-0.10496997833251953,-6.4290710724890232e-05,0.0094468593597412109,35398,102.42708587646484,2.7694431992131285e-07,-2.0448876966838725e-05,9.2557911557378247e-08
36104719,36104719,36104,-353617644,1491649331,28.356729507446289,-2.9827728271484375,-0.10680046677589417,35389,-0.083327494561672211,1.0295150279998779,-353618671,1491649465,-353528308,1491637781,0,-0.0027820561081171036,-1,-0.10495758056640625,-0.00015528892981819808,0.010841250419616699,35398,102.10528564453125,4.8921367579168873e-07,-6.4290710724890232e-05,2.7694431992131285e-07
36204679,36204679,36204,-353617391,1491649298,28.2769775390625,-2.9753763675689697,-0.10696692764759064,35388,-0.081980973482131958,1.0295121669769287,-353618671,1491649465,-353528055,1491637748,0,-0.001744805253110826,-1,-0.1049346923828125,-9.7665935754776001e-05,0.013378620147705078,35398,101.81848907470703,7.5190212101006182e-07,-0.00015528892981819808,4.8921367579168873e-07
36304639,36304639,36304,-353617139,1491649266,28.201168060302734,-2.9670329093933105,-0.10641791671514511,35391,-0.071144863963127136,1.0295126438140869,-353618671,1491649465,-353527803,1491637716,0,-0.0027810819447040558,-1,-0.1049799919128418,-0.00015609050751663744,0.0081735849380493164,35398,101.54538726806641,9.1282163339201361e-07,-9.7665935754776001e-05,7.5190212101006182e-07
36404599,36404599,36404,-353616887,1491649233,28.126535415649414,-2.9558258056640625,-0.10621587932109833,35392,-0.058760669082403183,1.0295083522796631,-353618671,1491649465,-353527551,1491637683,0,-0.0042831553146243095,-2,-0.10494709014892578,-0.00024103645409923047,0.011848688125610352,35398,101.27539825439453,1.1467175227153348e-06,-0.00015609050751663744,9.1282163339201361e-07
36504559,36504559,36504,-353616637,1491649201,28.064353942871094,-2.9470405578613281,-0.1062077209353447,35392,-0.052110049873590469,1.029512882232666,-353618671,1491649465,-353527301,1491637651,0,-0.0061286627314984798,-3,-0.10497236251831055,-0.00034566028625704348,0.0089592933654785156,35398,101.0506591796875,1.3239693998912117e-06,-0.00024103645409923047,1.1467175227153348e-06
36604519,36604519,36604,-353616386,1491649168,28.013795852661133,-2.9363327026367188,-0.10572125017642975,35395,-0.054332934319972992,1.0295106172561646,-353618671,1491649465,-353527050,1491637618,0,-0.0087280096486210823,-5,-0.10492897033691406,-0.00049316324293613434,0.013750076293945312,35398,100.86659240722656,1.5964992599037942e-06,-0.00034566028625704348,1.3239693998912117e-06
